District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
guntur,2006,5,LARGE (10 AND ABOVE),648,451,157,0,137,353,14138181,0,0,0,0,0,981818,0,4909090,21403636,13647272,30102545,36523635,13647272,35011635,85182542,0,0,36523635,36523635,133
guntur,2016,1,MARGINAL (BELOW 1.0),638230,390641,52269,13755,321866,2751,2426373180,0,0,0,316363850,0,14756310360,1581819250,409897510,68774750,0,0,17251458290,1898183100,409897510,19559538900,233834150,233834150,16783789990,17251458290,357629
guntur,2016,2,SMALL (1.0 - 1.99),139394,107603,14673,4280,89873,611,1219703100,0,0,0,275121000,30569000,8899247280,1011833900,168129500,61138000,0,0,10180088380,1286954900,198698500,11665741780,189527800,61138000,9929422580,10180088380,83758
guntur,2016,3,SEMI-MEDIUM (2.0 - 3.99),51769,42607,5498,1833,35735,458,615052950,0,0,0,171802500,0,5313965860,555723820,131715250,59558200,0,0,5988577010,727526320,131715250,6847818580,132860600,45814000,5809902410,5988577010,34360
guntur,2016,4,MEDIUM (4.0 - 9.99),10807,8705,1402,292,7186,0,198920100,0,0,0,35052000,0,1428193740,217322400,11684000,0,0,0,1627113840,252374400,11684000,1891172240,29210000,0,1597903840,1627113840,7888
guntur,2016,5,LARGE (10 AND ABOVE),386,225,129,0,161,0,11098650,0,0,0,0,0,33135100,11259500,0,0,0,0,44233750,11259500,0,55493250,0,0,44233750,44233750,96
kadapa,2006,1,MARGINAL (BELOW 1.0),219669,158290,44418,0,67031,46841,541096433,0,0,0,0,0,627510341,96912794,96912794,551595319,0,0,1720202093,96912794,96912794,1914027681,0,0,1720202093,1720202093,9684
kadapa,2006,2,SMALL (1.0 - 1.99),116236,98286,4700,0,58972,34614,60254691,0,0,0,0,0,713227514,168371264,117090676,630964904,0,0,1404447109,168371264,117090676,1689909049,0,0,1404447109,1404447109,4697
kadapa,2006,3,SEMI-MEDIUM (2.0 - 3.99),66928,48583,2478,0,25036,21069,40900444,0,0,0,0,0,603591407,4957629,0,589957925,0,0,1234449776,4957629,0,1239407405,0,0,1234449776,1234449776,3211
kadapa,2006,4,MEDIUM (4.0 - 9.99),16201,15734,1634,0,7728,6762,70972270,0,0,0,0,0,155098564,119649587,49569114,252304564,0,23409701,478375398,119649587,72978815,671003800,0,0,478375398,478375398,1036
kadapa,2006,5,LARGE (10 AND ABOVE),1052,914,19,0,436,535,595471,0,0,0,0,0,10023773,992452,7542641,27788679,0,0,38407923,992452,7542641,46943016,0,0,38407923,38407923,133
kadapa,2016,1,MARGINAL (BELOW 1.0),280581,160922,16505,0,80461,77366,929426550,0,0,0,0,0,3014704875,459039750,0,2717309010,20631000,0,6661440435,479670750,0,7141111185,51577500,113470500,6496392435,6661440435,43327
kadapa,2016,2,SMALL (1.0 - 1.99),133880,92876,10868,1482,44956,43968,823037320,0,0,0,137337560,0,3263002100,364092740,0,3218046280,155616300,0,7304085700,657046600,0,7961132300,98804000,409542580,6795739120,7304085700,17784
kadapa,2016,3,SEMI-MEDIUM (2.0 - 3.99),62838,45504,4574,241,24076,21909,418440880,0,0,0,40447680,0,2352947480,227277440,0,2055608880,102323000,0,4826997240,370048120,0,5197045360,51763400,152882600,4622351240,4826997240,9151
kadapa,2016,4,MEDIUM (4.0 - 9.99),10619,8182,928,58,3830,4410,81242000,0,0,0,4062100,0,597244760,108806250,0,595097650,13346900,0,1273584410,126215250,0,1399799660,17699150,69926150,1185959110,1273584410,1972
kadapa,2016,5,LARGE (10 AND ABOVE),622,456,104,0,332,249,10261350,0,0,0,0,0,41605110,0,0,30162150,0,0,82028610,0,0,82028610,2073000,2073000,77882610,82028610,0
karimnagar,2006,1,MARGINAL (BELOW 1.0),396984,356196,211215,1272,91611,53440,2546550569,0,0,0,12723846,0,648916153,222667307,152686153,542035846,25447692,0,3737502568,260838845,152686153,4151027566,26338361,1399623,3709764584,3737502568,11448
karimnagar,2006,2,SMALL (1.0 - 1.99),127430,112718,31857,0,46969,34308,425583525,0,0,0,0,0,377388846,260169583,103332660,469693910,112318108,0,1272666281,372487691,103332660,1748486632,8577019,0,1264089262,1272666281,4080
karimnagar,2006,3,SEMI-MEDIUM (2.0 - 3.99),57320,40528,12526,0,12337,15943,202328211,0,0,0,0,0,201948609,50297350,0,302733112,76869536,11767682,707009932,127166886,11767682,845944500,1708211,0,705301721,707009932,1890
karimnagar,2006,4,MEDIUM (4.0 - 9.99),16328,15294,3350,0,7432,4630,67870865,0,0,0,0,0,86818656,98699104,1827761,98089850,43439791,1523134,252779371,142138895,3350895,398269161,1218507,0,251560864,252779371,600
karimnagar,2006,5,LARGE (10 AND ABOVE),1678,1543,400,0,724,419,10106136,0,0,0,0,0,6101818,12966363,7150568,6826409,8676022,1906818,23034363,21642385,9057386,53734134,95340,0,22939023,23034363,152
khammam,2006,1,MARGINAL (BELOW 1.0),237284,207448,125580,693,65218,15957,1603124006,0,0,0,6938128,0,232427309,474567999,114479122,186635660,0,12488631,2022186975,481506127,126967753,2630660855,19565522,11928724,1990692729,2022186975,7623
khammam,2006,2,SMALL (1.0 - 1.99),94160,83062,39930,0,36692,9712,562315965,0,0,0,0,0,277893409,192232091,93080802,160800458,0,0,1001009832,192232091,93080802,1286322725,13867690,3750212,983391930,1001009832,3497
khammam,2006,3,SEMI-MEDIUM (2.0 - 3.99),58741,38819,24132,374,12159,5238,447928185,0,0,0,5612197,0,210644477,53315875,12159761,100738944,7482929,0,759311606,66411001,12159761,837882368,11037321,2993171,745281114,759311606,2618
khammam,2006,4,MEDIUM (4.0 - 9.99),22842,21312,11888,84,9340,2802,287605405,0,0,0,1698289,0,139854178,113360854,60034550,60883695,0,4670297,488343278,115059143,64704847,668107268,10028402,1486003,476828873,488343278,1260
khammam,2006,5,LARGE (10 AND ABOVE),2068,1790,867,0,844,289,24675909,0,0,0,0,0,21636172,0,17233333,14120215,0,0,60432296,0,17233333,77665629,22236,244602,60165458,60432296,286
krishna,2006,1,MARGINAL (BELOW 1.0),388646,290803,226936,0,46202,17665,2903973783,0,0,0,0,0,74739615,217424335,258191398,156273741,27178041,40767062,3134987139,244602376,298958460,3678547975,40359392,3736980,3090890767,3134987139,14938
krishna,2006,2,SMALL (1.0 - 1.99),105988,95561,58758,0,27519,10412,1261257199,0,0,0,0,0,111194428,176274778,187803298,216438652,29751017,93157873,1588890279,206025795,280961171,2075877245,27891578,1487550,1559511151,1588890279,4081
krishna,2006,3,SEMI-MEDIUM (2.0 - 3.99),48766,39126,26446,187,5439,7502,926929122,0,0,0,8440269,0,82527076,3751230,56268461,140483592,25320807,148173615,1149939790,37512306,204442076,1391894172,14536019,656465,1134747306,1149939790,2244
krishna,2006,4,MEDIUM (4.0 - 9.99),14986,14451,8301,0,4701,1689,390150225,0,0,0,0,0,1469215,111660392,120475686,84259519,4407647,37464999,475878959,116068039,157940685,749887683,1101911,440764,474336284,475878959,949
krishna,2006,5,LARGE (10 AND ABOVE),989,926,462,0,378,126,40506914,0,0,0,0,0,0,3577234,22305106,15781914,0,0,56288828,3577234,22305106,82171168,0,0,56288828,56288828,147
krishna,2016,1,MARGINAL (BELOW 1.0),473613,325192,171768,8338,111733,46694,4582535435,0,0,0,16677,0,3532582995,483284970,333530000,1618454325,0,166765000,9733572755,483301647,500295000,10717169402,845498550,75044250,8813029955,9733572755,138415
krishna,2016,2,SMALL (1.0 - 1.99),99702,74685,35892,1450,31179,12327,2564747584,0,0,0,2900,0,2023137765,229240365,108765000,530773200,36255000,435060000,5118658549,265498265,543825000,5927981814,305629650,22840650,4790188250,5118658550,27192
krishna,2016,3,SEMI-MEDIUM (2.0 - 3.99),42261,31696,15769,946,15296,4573,1573553818,0,0,0,52827096,39422500,1401406799,334854715,47307000,158793830,47307000,291726500,3133754447,434988811,378456000,3947199258,135140330,4730700,2993883417,3133754447,11670
krishna,2016,4,MEDIUM (4.0 - 9.99),10595,7645,4091,0,4426,1341,578727800,0,0,0,0,0,562801050,131571720,13412000,119031500,0,26824000,1260560350,131571720,40236000,1432368070,105284200,45265500,1110010650,1260560350,3285
krishna,2016,5,LARGE (10 AND ABOVE),555,393,162,0,231,162,23130000,0,0,0,0,0,30647250,12837150,16191000,11796300,0,0,65573550,12837150,16191000,94601700,7170300,0,58403250,65573550,393
kurnool,2006,1,MARGINAL (BELOW 1.0),222311,180403,71823,0,48737,61563,799464557,0,0,0,0,0,356552642,111155499,85504230,701134692,17100846,0,1857151891,128256345,85504230,2070912466,5985296,0,1851166595,1857151891,8550
kurnool,2006,2,SMALL (1.0 - 1.99),157649,140015,28498,0,55783,60634,351072196,0,0,0,0,0,512662421,203124673,118236749,966812809,31529799,200092961,1830547426,234654472,318329710,2383531608,18190269,0,1812357157,1830547426,6060
kurnool,2006,3,SEMI-MEDIUM (2.0 - 3.99),112273,89328,12522,0,28931,50091,207273230,0,0,0,0,0,459239751,64772884,22886419,1114525434,19431865,6477288,1781038415,84204749,29363707,1894606871,13386396,0,1767652019,1781038415,4741
kurnool,2006,4,MEDIUM (4.0 - 9.99),52190,50487,5136,0,22396,25273,120201377,0,0,0,0,0,492311968,127392913,193144094,802369881,30820866,69038740,1414883226,158213779,262182834,1835279839,13150236,0,1401732990,1414883226,2460
kurnool,2006,5,LARGE (10 AND ABOVE),6920,6571,691,0,2849,3459,18317647,0,0,0,0,0,87802588,61058823,0,185455999,5698823,2157411,291576234,66757646,2157411,360491291,1221176,0,290355058,291576234,440
