District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
changlang,2011,2,SMALL (1.0 - 1.99),1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
changlang,2011,3,SEMI-MEDIUM (2.0 - 3.99),2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
changlang,2011,4,MEDIUM (4.0 - 9.99),1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
changlang,2011,5,LARGE (10 AND ABOVE),1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
lohit,2011,1,MARGINAL (BELOW 1.0),2898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723
lohit,2011,2,SMALL (1.0 - 1.99),2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898
lohit,2011,3,SEMI-MEDIUM (2.0 - 3.99),2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885
lohit,2011,4,MEDIUM (4.0 - 9.99),1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lohit,2011,5,LARGE (10 AND ABOVE),185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
changlang,2006,1,MARGINAL (BELOW 1.0),345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
changlang,2006,2,SMALL (1.0 - 1.99),735,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,98000,0,0,98000,98000,0,0,0,0,48
changlang,2006,3,SEMI-MEDIUM (2.0 - 3.99),2920,125,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,363289,0,0,363289,363289,0,0,0,0,82
changlang,2006,4,MEDIUM (4.0 - 9.99),4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
changlang,2006,5,LARGE (10 AND ABOVE),400,215,0,0,0,215,0,0,0,0,0,0,0,0,0,0,1722615,0,0,1722615,0,1722615,0,0,0,0,60
changlang,2016,1,MARGINAL (BELOW 1.0),2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
changlang,2016,2,SMALL (1.0 - 1.99),4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816
changlang,2016,3,SEMI-MEDIUM (2.0 - 3.99),2582,47,0,0,47,0,0,0,0,0,0,0,2801366,0,0,0,0,0,2801366,0,0,2801366,0,0,2801366,2801366,658
changlang,2016,4,MEDIUM (4.0 - 9.99),3971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251
changlang,2016,5,LARGE (10 AND ABOVE),436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
lohit,2006,1,MARGINAL (BELOW 1.0),705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lohit,2006,2,SMALL (1.0 - 1.99),1780,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,169523,0,0,169523,169523,0,0,0,0,0
lohit,2006,3,SEMI-MEDIUM (2.0 - 3.99),1835,79,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,188326,0,0,188326,188326,0,0,0,0,39
lohit,2006,4,MEDIUM (4.0 - 9.99),835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
lohit,2006,5,LARGE (10 AND ABOVE),70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lohit,2016,1,MARGINAL (BELOW 1.0),320,58,0,0,29,29,0,0,0,0,0,0,816382,0,0,4654400,0,0,5470782,0,0,5470782,0,0,5470782,5470782,29
lohit,2016,2,SMALL (1.0 - 1.99),523,33,0,0,33,0,0,0,0,0,0,0,3152754,0,0,0,0,0,3152754,0,0,3152754,0,0,3152754,3152754,98
lohit,2016,3,SEMI-MEDIUM (2.0 - 3.99),231,66,0,0,33,33,0,0,0,0,0,0,1426128,0,0,6600000,0,0,8026128,0,0,8026128,0,0,8026128,8026128,33
lohit,2016,4,MEDIUM (4.0 - 9.99),156,31,0,0,16,16,0,0,0,0,0,0,2680080,0,0,3120000,0,0,5800080,0,0,5800080,0,0,5800080,5800080,16
lohit,2016,5,LARGE (10 AND ABOVE),335,56,0,0,56,0,0,0,0,0,0,0,4363673,0,0,0,0,0,4363673,0,0,4363673,0,0,4363673,4363673,112
bongaigaon,2011,1,MARGINAL (BELOW 1.0),59451,2426,1213,1213,0,0,1415499,0,0,0,14154999,0,0,0,0,0,0,0,1415499,14154999,0,15570498,0,0,1415499,1415499,0
bongaigaon,2011,2,SMALL (1.0 - 1.99),14047,1077,860,955,0,0,1911156,0,0,0,11944727,0,0,0,0,0,0,0,1911156,11944727,0,13855883,0,477789,1433367,1911156,0
bongaigaon,2011,3,SEMI-MEDIUM (2.0 - 3.99),4461,508,383,453,0,0,1097824,0,0,0,5576250,0,0,0,0,0,0,0,1097824,5576250,0,6674074,0,435644,662180,1097824,139
bongaigaon,2011,4,MEDIUM (4.0 - 9.99),983,271,104,167,0,0,627446,0,0,0,2483643,0,0,0,0,0,0,0,627446,2483643,0,3111089,0,0,627446,627446,83
